2025-06-10 10:47:34.613 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:47:40.911 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:48:37.303 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:48:53.249 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:48:53.324 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:48:54.046 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:49:15.258 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:49:15.905 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:49:16.005 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:03.409 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:38.747 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:49.207 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:53.732 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:54.191 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:54.202 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:54.369 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:54.498 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:54.658 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:54.714 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:55.131 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:59.001 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:54:07.165 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 12:07:04.847 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 12:07:11.497 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 12:07:18.121 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 12:07:19.803 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 12:07:29.441 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 12:07:34.478 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 12:07:36.790 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 14:10:07.255 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 14:16:09.003 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 14:16:11.074 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 14:16:13.479 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 14:18:45.208 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 14:49:35.722 +07:00 [INF] Running in Login Action
2025-06-10 14:49:57.087 +07:00 [INF] Running in Login Action
2025-06-10 15:04:56.321 +07:00 [INF] Running in Login Action
2025-06-10 15:50:18.746 +07:00 [INF] Running in Login Action
2025-06-10 17:31:24.523 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 17:48:17.137 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 17:48:22.458 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 17:53:53.854 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 18:07:26.696 +07:00 [INF] Running in Login Action
2025-06-10 18:09:33.706 +07:00 [INF] admin123 Delete Order Id:479
2025-06-10 18:09:52.228 +07:00 [INF] admin123 Delete Order Id:479 Failed
2025-06-10 18:09:59.363 +07:00 [INF] admin123 Delete Order Id:479 Failed
2025-06-10 18:10:02.968 +07:00 [INF] admin123 Delete Order Id:479 Failed
2025-06-10 18:10:40.706 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 18:11:14.926 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 18:11:34.401 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 18:12:21.854 +07:00 [INF] admin123 Delete Order Id:479 Failed
2025-06-10 18:12:27.357 +07:00 [INF] admin123 Delete Order Id:479 Failed
2025-06-10 18:12:29.502 +07:00 [INF] admin123 Delete Order Id:479 Failed
2025-06-10 18:13:40.037 +07:00 [INF] admin123 Delete Order Id:479 Failed
2025-06-10 18:15:27.188 +07:00 [INF]  Delete Order Id:479 Failed
2025-06-10 18:15:30.958 +07:00 [INF]  Delete Order Id:479 Failed
2025-06-10 18:15:34.051 +07:00 [INF] Running in Login Action
2025-06-10 18:20:52.113 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
